title,year,color
Dsk,2011,#CF3301
Alexandra Stan,2011,#15F901
Pippa Middleton,2011,#EA8607
Amy Winehouse,2011,#D1C776
Ayem,2011,#C1C750
Tristane Banon,2011,#E01041
Nafissatou Diallo,2011,#9D246F
Hugo Tout Seul,2011,#5594FB
Marie-France Pisier,2011,#007BAD
Norman,2011,#531C5D
title,year,color
Gangnam Style,2012,#E7279E
Call Me Maybe,2012,#4F4062
Wati House,2012,#75EA37
Payphone,2012,#41E038
Bara Bara Bere Bere,2012,#D38385
Juste Un Instant,2012,#3B46BC
Rayos De Sol,2012,#C60831
Party Shaker,2012,#A3875F
Parler À Mon Père,2012,#389468
Pound The Alarm,2012,#F3891B
title,year,color
Michael Kors,2013,#EA268C
Marc Jacobs,2013,#7ABB17
Victoria Beckham,2013,#CED1DF
Yves Saint Laurent,2013,#B60755
Stella McCartney,2013,#846DF3
Paco Rabanne,2013,#5F2031
Rick Owens,2013,#2B13F0
Jenny Packham,2013,#8A1E74
Phillip Lim,2013,#F65D55
Riccardo Tisci,2013,#942D8A
title,year,color
Julie Gayet,2014,#03F39E
Robin Williams,2014,#1407D2
Jennifer Lawrence,2014,#3999C3
Philip Seymour Hoffman,2014,#D49B2F
Ingrid Chauvin,2014,#7D186F
Thierry Neuvic,2014,#F83C6C
Thierry Redler,2014,#F98F65
Paul Walker,2014,#7CA1D6
Ellen Page,2014,#F59EC5
Joan Rivers,2014,#5CA2DD
title,year,color
Charlie Hebdo,2015,#1D7056
Attentats Paris,2015,#0DC6E1
Tour de France,2015,#9EAAD0
50 nuances de Grey,2015,#73BF87
Claire Chazal,2015,#C8AD19
Eclipse,2015,#94472B
Accident d'hélicoptère en Argentine,2015,#534A59
Jurassic world,2015,#27E86C
Coupe du monde Rugby,2015,#FFFD04
COP21,2015,#16111F
title,year,color
Euro 2016,2016,#9EF67D
Pokemon go,2016,#BA499D
Tour de france 2016,2016,#CCE650
Les jeux olympiques  2016,2016,#FAF4DD
Les élections américaines,2016,#A7A1F8
David Bowie,2016,#F76D8A
L'attentat de Nice,2016,#52336A
Le Vendée Globe,2016,#B88577
La primaire de la droite et du centre,2016,#2AAA8D
Prince,2016,#9A417F
title,year,color
Johnny Hallyday,2017,#6DDC52
Maëlys,2017,#0DA62E
Sondage élection présidentielle,2017,#7E0022
Primaire gauche,2017,#F952F5
Ouragan Irma,2017,#D436A6
Élection législative,2017,#C96537
Catalogne,2017,#5D40E7
Affaire Grégory,2017,#EA7858
Attentat Barcelone,2017,#9448F6
Corée du Nord,2017,#B8A49D
title,year,color
Pompier,2018,#F312D9
Agent immobilier,2018,#BA5949
Mannequin,2018,#558703
Auto-entrepreneur,2018,#9F9739
Assistante maternelle,2018,#BD1D4F
Acteur,2018,#D15C0A
Influenceur,2018,#96AC02
Gendarme,2018,#7C142A
Ambulancier,2018,#04352B
ATSEM,2018,#A40568
title,year,color
Notre Dame de Paris,2019,#6C489D
Marie Laforêt,2019,#FAE26B
Neymar,2019,#4EC1C9
Julie Graziani,2019,#C7650B
Karl Lagerfeld,2019,#02ED21
Coupe du Monde féminine de football 2019,2019,#3E6C9F
Jacques Chirac,2019,#D66FF7
Game of Thrones,2019,#433CE6
Résultats des élections européennes,2019,#592BF3
Dijon - PSG,2019,#4C5110
title,year,color
Coronavirus,2020,#1F4FF2
Attestation Covid,2020,#33A5B9
Election américaine,2020,#17EC53
Coronavirus conseils,2020,#735BE6
PS5,2020,#B99B2A
Attestation de déplacement sur smartphone,2020,#23F0A0
Coronavirus Italie,2020,#74D822
Kobe Bryant,2020,#7F93EC
Symptome Coronavirus,2020,#BDF77C
Roland Garros,2020,#DD6872
title,year,color
Euro 2021,2021,#3133FE
Attestation couvre-feu,2021,#68477D
Ligue 1,2021,#7BB9FA
Roland Garros,2021,#286EB1
Vite ma dose,2021,#80BCFC
Pass sanitaire,2021,#8E1F81
France Suisse,2021,#E9DDC7
Confinement,2021,#DD65B7
France Portugal,2021,#EF06EE
Covid,2021,#FBD4D6
