title,year,color
Marco Simoncelli,2011,#0EB439
Lamberto Sposini,2011,#B6D1BA
Gheddafi,2011,#D44CE8
Amy Winehouse,2011,#23A317
Nicole Minetti,2011,#E430B4
Melania Rea,2011,#0130A3
Andrea Cocco,2011,#1F2EA0
Caparezza,2011,#356677
Jennifer Lopez,2011,#E1AC9C
Belen Rodriguez,2011,#B18F82
title,year,color
Cinquanta sfumature di grigio,2012,#6EF414
Fai bei sogni,2012,#C7E0EC
Cinquanta sfumature di nero,2012,#1C5ACA
Cinquanta sfumature di rosso,2012,#8851B5
Se ti abbraccio non aver paura,2012,#4E4FE6
La collina del vento,2012,#ED960D
Il senso di una fine,2012,#3DB514
Una lama di luce,2012,#6E6AC7
Di tutte le ricchezze,2012,#0CEA9A
Il manoscritto ritrovato ad Accra,2012,#A8F4C5
title,year,color
Il Grande Gatsby,2013,#C766B5
Django Unchained,2013,#405026
Cloud Atlas,2013,#52D9B7
Sole a catinelle,2013,#F7FE8C
Iron Man 3,2013,#AB1DD8
Cattivissimo Me 2,2013,#6557DE
Rush,2013,#9812E0
La Migliore Offerta,2013,#9669A8
Educazione siberiana,2013,#463829
Il principe abusivo,2013,#F07C1B
title,year,color
Milan - Juventus,2014,#7A846C
Rolling Stones,2014,#F713D6
Milan - Inter,2014,#72C1BE
Italia - Croazia,2014,#8B6325
Jovanotti 2015,2014,#B601FC
Catania - Juventus,2014,#5F2092
Italia - Olanda,2014,#1D83C7
Tomorrowland 2014,2014,#DA090A
Expo 2015,2014,#7DAAED
Violetta,2014,#4BC8E9
title,year,color
Pino Daniele,2015,#AAE408
Grande Fratello,2015,#C59178
Isola dei Famosi,2015,#2D0488
Parigi,2015,#48BAF3
Sanremo 2015,2015,#67649A
50 sfumature di grigio,2015,#F9D473
Miss Italia 2015,2015,#AB6562
Expo,2015,#6BA54E
Charlie Hebdo,2015,#711F3F
Valentino Rossi,2015,#3F67A0
title,year,color
Pokémon Go,2016,#CBF641
Olimpiadi Rio 2016,2016,#137675
Europei 2016,2016,#8992F0
Elezioni USA,2016,#4FE254
Terremoto,2016,#6B37D1
Sanremo 2016,2016,#C36E7C
David Bowie,2016,#67A283
Donald Trump,2016,#09AF68
Bud Spencer,2016,#1C1907
Brexit,2016,#A03228
title,year,color
Nadia Toffa,2017,#575715
Hotel Rigopiano,2017,#3F6EC9
Italia - Svezia,2017,#535B02
Sanremo,2017,#F1C57F
Terremoto,2017,#CB2009
Giro d'Italia,2017,#BC30D9
Occidentali's Karma,2017,#2A3AAB
Tour de France,2017,#F363C8
Corea del Nord,2017,#E3B8AD
Champions League,2017,#B20B94
title,year,color
Mondiali,2018,#04D2F5
Sergio Marchionne,2018,#420406
Cristiano Ronaldo,2018,#0458DE
Fabrizio Frizzi,2018,#5BA710
Grande Fratello,2018,#B4E4F4
Governo,2018,#5BEF7B
Elezioni 4 marzo,2018,#B32C59
Sanremo,2018,#9348A7
Avicii,2018,#1724FD
Davide Astori,2018,#0AFCA9
title,year,color
Nadia Toffa,2019,#4A1021
Notre Dame,2019,#693028
Sanremo,2019,#4EBD2C
Elezioni europee,2019,#42950F
Luke Perry,2019,#CCCBF1
Governo,2019,#828779
Joker,2019,#7D9068
Mia Martini,2019,#A5B781
Mahmood,2019,#A1DD4C
Thanos,2019,#FE12E7
title,year,color
Coronavirus,2020,#778C98
Elezioni USA,2020,#D26738
Classroom,2020,#AC5EA8
Weschool,2020,#D68A61
Nuovo Dpcm,2020,#E749FE
Diego Armando Maradona,2020,#70B77E
Kobe Bryant,2020,#82A81B
Meet,2020,#FD1639
Contagi,2020,#D76AB3
Protezione Civile,2020,#1CF450
title,year,color
Serie A,2021,#FA9A21
Europei,2021,#C27C26
Classroom,2021,#085B19
Raffaella Carrà,2021,#62B80F
Champions League,2021,#1C8075
Roland Garros,2021,#3107C6
Christian Eriksen,Eriksen,#271EC8
Wimbledon,2021,#92D1EA
Green Pass,2021,#424264
Matteo Berrettini,2021,#0E00C2
