title,year,color
Elecciones 2011,2011,#E7D2E9
Bankia,2011,#815C3C
Atrapa Un Millón,2011,#E4FF7E
Whatsapp,2011,#93F721
Dieta Dukan,2011,#2810E3
Juego De Tronos,2011,#A49532
iPhone5,2011,#5EFBDB
Supervivientes 2011,2011,#399F79
El Barco,2011,#49FD2A
Gadafi,2011,#F2DE89
title,year,color
Bankia,2012,#F69B05
Mi Tele,2012,#6825F3
Prima de Riesgo,2012,#C8E543
Gran Hermano 12+1,2012,#D127C8
Lo Imposible,2012,#0B764E
Apalabrados,2012,#2D2B5E
Reforma laboral 2012,2012,#6C2C7E
Felix Baumgartner,2012,#D0B394
Gangnam Style,2012,#2032CD
Sepe,2012,#A15702
title,year,color
Cómo pagar Whatsapp,2013,#F1A969
Cómo hacer fofuchas,2013,#94D387
Cómo funciona Line,2013,#9FBDFC
Cómo ahorrar luz,2013,#0CD1D6
Cómo instalar Vshare,2013,#3586D3
Cómo ganar a apalabrados,2013,#D46608
Cómo murió Houdini,2013,#1B6122
Cómo tener labia,2013,#BEF1ED
Cómo coser camisetas,2013,#E6C1F9
Cómo hacer trapillo,2013,#7A8725
title,year,color
Gran Hermano 15,2014,#5BF0BA
Mundial 2014,2014,#10ED33
La Voz Kids,2014,#97EC85
Ébola,2014,#648944
iPhone 6,2014,#2FB1DF
Tito Vilanova,2014,#0A6870
Supervivientes,2014,#C5D244
Robin Williams,2014,#5A51DB
Eurovision 2014,2014,#4E6F03
Adolfo Suárez,2014,#DE5D30
title,year,color
Gran Hermano 16,2015,#C09CB2
Eurovisión,2015,#2843B2
Supervivientes,2015,#F652D6
Elecciones,2015,#6CDBD6
La Voz,2015,#237DE6
París,2015,#5C9D3D
Charlie Hebdo,2015,#2C7E8B
Eurobasket,2015,#5BAA07
Jurassic World,2015,#D1591D
Elecciones Municipales,2015,#0335F3
title,year,color
Juegos Olímpicos Río 2016,2016,#521256
Eurocopa 2016,2016,#2BC1FB
Pokemon go,2016,#DCED36
iPhone 7,2016,#AECC02
Elecciones EEUU,2016,#2792A3
Donald Trump,2016,#427887
Diana Quer,2016,#C23825
Eurovision 2016,2016,#7067A9
David Bowie,2016,#91F5E4
La Veneno,2016,#C7ECB8
title,year,color
Eurovisión,2017,#0604AA
HBO,2017,#8EC962
Oscars,2017,#614D92
Supervivientes,2017,#12DBCB
La Sexta Directo,2017,#AF77A6
13 Reasons Why,2017,#708533
La Casa de Papel,2017,#1639DB
La Voz Kids,2017,#CE0E74
GH Revolution,2017,#B460CE
TV3 Directo,2017,#1541A4
title,year,color
Mundial,2018,#21495B
Cristina Cifuentes,2018,#4EF50F
Fortnite,2018,#7C15CE
Bohemian Rhapsody,2018,#F74F21
Cómeme el donut,2018,#4F1629
Moción de censura,2018,#7C5D9C
Fariña,2018,#EA1120
Cambio de horario 2018,2018,#B516EB
Huelga 8 de marzo 2018,2018,#2882E6
Sentencia La Manada,2018,#AA0A76
title,year,color
Elecciones generales,2019,#315929
Notre Dame,2019,#9E83A1
La caída del Muro de Berlín,2019,#C22697
Elecciones municipales,2019,#43B0F0
Black Friday,2019,#D1DC57
Lotería del Niño,2019,#09133C
Vox,2019,#CBD6F1
Metro de Madrid,2019,#EBF444
Listeriosis,2019,#90DE50
Boda Sergio Ramos,2019,#E090A3
title,year,color
coronavirus,2020,#5058D6
elecciones eeuu,2020,#37CC4A
classroom,2020,#DA6350
la liga,2020,#EDEA87
Kobe Bryant,2020,#A346FE
tigre,2020,#72B943
zoom,2020,#B3D31D
nba,2020,#195FF8
champions,2020,#3C51F1
tiburón,2020,#DB7B26
title,year,color
tiempo mañana,2021,#4F7506
Eurocopa,2021,#6BD8A7
La Liga,2021,#4617C3
Real Madrid,2021,#ECF37C
Roland Garros,2021,#2D1A42
Volcán La Palma,2021,#7FBAFC
Bonoloto,2021,#646C88
Mbappé,2021,#43D42A
Atlético de Madrid,2021,#DA78D6
NBA,2021,#330C41
