title,year,color
Pannkakor,2011,#7CC322
Äpplepaj,2011,#E2B5A3
Cupcakes,2011,#DC6EFE
Macarons,2011,#5502F0
Rabarberpaj,2011,#61E900
Chokadbollar,2011,#1561A3
Amerikanska Pannkakor,2011,#E5F566
Korvstroganoff,2011,#BDD7B7
Cheesecake,2011,#4CC575
Dumplings,2011,#0C4FB3
title,year,color
Loreen,2012,#255C4B
Whitney Houston,2012,#83531A
Olle Ljungström,2012,#CC5125
Avicii,2012,#13D60D
Maja Ivarsson,2012,#2B4A74
Tomas Ledin,2012,#EF42A7
Mando Diao,2012,#08BA12
Laleh,2012,#B02CEC
Pussy Riot,2012,#83449E
Miss Li,2012,#304119
title,year,color
Yohio,2013,#F9F0F8
Zara Larsson,2013,#4E3063
Bonnie Tyler,2013,#E85AF4
Håkan Hellström,2013,#8200AC
Ken Ring,2013,#4750B6
Robin Stjernberg,2013,#31598D
Anton Ewald,2013,#24AF93
Titiyo,2013,#7D1049
Monica Zetterlund,2013,#FDE709
Gyllene Tider,2013,#C6626C
title,year,color
Conchita Wurst,2014,#C13A73
Ace Wilder,2014,#806724
Sanna Nielsen,2014,#B18FA0
Sia,2014,#138533
Tristan Björling,2014,#00F134
Ed Sheeran,2014,#383ED9
Monica Zetterlund,2014,#BD5601
Alice Babs,2014,#DB62E1
Tove Lo,2014,#55415F
Orup,2014,#F71EB2
title,year,color
Lisa Holm,2015,#B256B5
Agario,2015,#ADF1E5
Fifty Shades of Grey,2015,#B62F42
Ex on the Beach,2015,#6E7146
Caitlyn Jenner,2015,#5916C4
Måns Zelmerlöw,2015,#8805D0
Solförmörkelse,2015,#43B6C0
Mall of Scandinavia,2015,#36C400
Melodifestivalen,2015,#5C73BD
Zara Larsson,2015,#657F2D
title,year,color
Pokémon Go,2016,#A2BE21
EM 2016,2016,#F86C5A
iPhone 7,2016,#B31456
Donald Trump,2016,#80F2BC
OS 2016,2016,#67B966
David Bowie,2016,#16A26C
Melodifestivalen 2016,2016,#A9B177
Lisa Ekdahl,2016,#638B62
Prince,2016,#BBFA09
Brexit,2016,#7B38D7
title,year,color
Hur gör man slime?,2017,#AA6CE2
Hur många tangenter har ett piano?,2017,#A61A3C
Hur dog Noppe?,2017,#6D1220
Hur många länder finns det i världen?,2017,#1253FC
Hur många kalorier per dag?,2017,#D3B614
Hur många människor finns det i världen?,2017,#EC2343
Hur lång tid tar det att få pass?,2017,#80F7F2
Hur många gifter sig i Las Vegas?,2017,#EC16B4
Hur många ben har en fästing?,2017,#1DE549
Hur blir man rik?,2017,#F8CCDE
title,year,color
Avicii,2018,#CB9F56
Albin Lee Meldau,2018,#DDEDE4
Lill-Babs,2018,#BEBDDF
Meghan Markle,2018,#46F2AC
Frank Andersson,2018,#5A54FB
Mac Miller,2018,#50918D
Jerry Williams,2018,#505673
Sara Danius,2018,#420C6B
Dante,2018,#4525F4
Stan Lee,2018,#C60703
title,year,color
Sara Danius,2019,#32BC20
Cameron Boyce,2019,#60D50F
Luke Perry,2019,#856E20
Arne Weise,2019,#4E8275
Michael Perlitz,2019,#F3DCD1
Nipsey Hussle,2019,#300119
Karl Lagerfeldt,2019,#43D634
Jeffrey Epstein,2019,#60522D
Terese Alvén,2019,#25F652
Hans Ingemansson,2019,#24F3B0
title,year,color
Adam Alsing,2020,#50BDFA
Kobe Bryant,2020,#E9474D
Naya Rivera,2020,#27472C
Sven Wollter,2020,#D62BBE
Chadwick Boseman,2020,#F6FFEB
Maradona,2020,#BCC95A
George Floyd,2020,#F1AC48
Sean Connery,2020,#526732
Kristina Lugn,2020,#660A38
Max von Sydow,2020,#CAC923
title,year,color
Hur många har vaccinerats i Sverige?,2021,#392A57
Hur blir sommaren 2021?,2021,#421EE4
Hur långa längdskidor ska man ha?,2021,#CA5E02
Hur lång är en handbollsmatch?,2021,#F345BB
Hur länge smittar förkylning?,2021,#562D47
Hur många arbetsdagar på ett år?,2021,#1B5BD9
Hur många medaljer har Sverige i OS 2021?,2021,#BC0A2D
Hur länge har man antikroppar?,2021,#9E3C63
Hur ofta TBE-vaccin?,2021,#C02ED4
Hur lång tid tar det att åka till Mars?,2021,#AB5AEA
