title,year,color
Miami Marlins Logo,2011,#46F74C
MLB Fan Cave,2011,#A0A73E
Manny Ramirez Retires,2011,#4DE0D1
Barry Bonds Verdict,2011,#AFDFFA
Kimberly Bell,2011,#4B0F38
Unassisted Triple Play,2011,#A4FC30
Billy Beane,2011,#EBDF52
Hideki Irabu,2011,#24A39B
Moneyball,2011,#188997
3000 Hit Club,2011,#793ED1
title,year,color
Super Bowl 2012,2012,#1B58CC
Euro 2012,2012,#3FB1A8
Fathers Day 2012,2012,#69CC00
Mothers Day 2012,2012,#B672AD
Thanksgiving 2012,2012,#6B580C
Memorial Day 2012,2012,#3BFCD5
March Madness 2012,2012,#021DDE
Labor Day 2012,2012,#564E53
Grammys 2012,2012,#4B9D00
NFL Draft 2012,2012,#E85DCA
title,year,color
Black Friday,2013,#A9150B
Cyber Monday,2013,#3AB7A7
Daytona 500,2013,#5FFCD0
Chinese New Year,2013,#2F4439
Tour de France,2013,#93CA9C
AMAs,2013,#E52E3C
French Open,2013,#74B31F
Cinco de Mayo,2013,#A39B85
Yom Kippur,2013,#C7F04A
LA Auto Show,2013,#F81F40
title,year,color
Robin Williams,2014,#B87FF4
World Cup,2014,#8E53D5
Ebola,2014,#DACC87
Malaysia Airlines,2014,#07F0B9
Flappy Bird,2014,#F35ACA
ALS Ice Bucket Challenge,2014,#FBB754
ISIS,2014,#8FC8FC
Ferguson,2014,#91A68A
Frozen,2014,#FB50BB
Ukraine,2014,#F059B6
title,year,color
Lamar Odom,2015,#82094B
Jurassic World,2015,#F2782A
American Sniper,2015,#A36D3D
Caitlyn Jenner,2015,#3A5924
Ronda Rousey,2015,#8DB85C
Paris,2015,#7A201D
Agar.io,2015,#795C13
Chris Kyle,2015,#41322C
Fallout 4,2015,#0E668A
Straight Outta Compton,2015,#802DEB
title,year,color
Powerball,2016,#F0D4AE
Prince,2016,#2868F6
Hurricane Matthew,2016,#053724
Pokémon Go,2016,#4FC586
Slither.io,2016,#959006
Olympics,2016,#6DEDFC
David Bowie,2016,#876E58
Trump,2016,#F93E85
Election,2016,#362A5C
Hillary Clinton,2016,#1BA0EB
title,year,color
Hurricane Irma,2017,#F66AEF
Matt Lauer,2017,#8A9CD7
Tom Petty,2017,#2C0F87
Super Bowl,2017,#EC62B8
Las Vegas shooting,2017,#A1806D
Mayweather vs McGregor fight,2017,#6F8F90
Solar eclipse,2017,#7644BC
Hurricane Harvey,2017,#9ECE9B
Aaron Hernandez,2017,#FBB461
Fidget Spinner,2017,#CAC729
title,year,color
World Cup,2018,#E78985
Hurricane Florence,2018,#F04899
Mac Miller,2018,#EA8A06
Kate Spade,2018,#B8F0B1
Anthony Bourdain,2018,#D12AC5
Black Panther,2018,#1F7EAF
Mega Millions Results,2018,#7F93BC
Stan Lee,2018,#7D45A1
Demi Lovato,2018,#851036
Election Results,2018,#48F862
title,year,color
Disney Plus,2019,#259C56
Cameron Boyce,2019,#E16F3D
Nipsey Hussle,2019,#57F1A7
Hurricane Dorian,2019,#F8DA25
Antonio Brown,2019,#A11AE9
Luke Perry,2019,#6E2E6D
Avengers: Endgame,2019,#0EA74A
Game of Thrones,2019,#17B0E5
iPhone 11,2019,#D1CFCC
Jussie Smollett,2019,#DBF11B
title,year,color
Election results,2020,#D45576
Coronavirus,2020,#474B08
Kobe Bryant,2020,#57B44E
Coronavirus update,2020,#24A342
Coronavirus symptoms,2020,#304F68
Zoom,2020,#366950
Who is winning the election,2020,#0FB1E6
Naya Rivera,2020,#2CD64F
Chadwick Boseman,2020,#DB5C79
PlayStation 5,PS5,#A5B872
title,year,color
NBA,2021,#3D4E74
DMX,2021,#F9C294
Gabby Petito,2021,#D19288
Kyle Rittenhouse,2021,#F555CC
Brian Laundrie,2021,#680316
Mega Millions,2021,#7265FE
AMC Stock,2021,#33C228
Stimulus Check,2021,#DDD495
Georgia Senate Race,2021,#54009C
Squid Game,2021,#94977C
